region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
fr,0.730657143,0.693857143,4.657142857,-5.177885714,0.457142857,0.084951429,0.169341971,0.010937277,0.156931429,0.557691429,120.6446857,210816.1429,4
cl,0.719642857,0.705535714,5.107142857,-5.014821429,0.535714286,0.087710714,0.172419286,0.000173228,0.169867857,0.613714286,120.2375357,223224.25,3.964285714
ph,0.681608696,0.673086957,4.826086957,-5.482521739,0.608695652,0.079747826,0.187750391,0.005749511,0.152521739,0.534486957,109.4795652,218283.7391,3.956521739
dk,0.689595745,0.667361702,4.723404255,-5.661042553,0.595744681,0.099653191,0.181703596,0.008201806,0.143512766,0.531961702,117.8753617,218404.1702,3.978723404
mx,0.713692308,0.688192308,4.961538462,-5.179961538,0.615384615,0.079223077,0.175978462,0.000185853,0.156111538,0.579315385,119.6363846,229525.3846,3.961538462
au,0.698192982,0.651929825,5.035087719,-5.897421053,0.631578947,0.115707018,0.174024018,0.008335915,0.149661404,0.516775439,118.1545965,220848.386,3.98245614
bo,0.712631579,0.698631579,4.947368421,-5.114578947,0.552631579,0.078739474,0.147453421,0.005920552,0.160428947,0.581821053,116.4789737,220954.0526,3.973684211
cr,0.694457143,0.695571429,5.114285714,-5.279457143,0.6,0.085625714,0.1733514,0.000271785,0.168134286,0.558062857,120.4399143,224218.7714,3.971428571
sk,0.678892308,0.665615385,5.246153846,-5.393661538,0.523076923,0.087981538,0.1562966,0.005771838,0.14592,0.532506154,120.1332308,215914.5231,3.984615385
my,0.68,0.669777778,4.933333333,-5.573444444,0.6,0.092011111,0.177918422,0.007934303,0.146111111,0.534715556,118.9537111,217469.8444,3.977777778
co,0.721689655,0.702586207,4.965517241,-5.135034483,0.620689655,0.086013793,0.174822069,0.000328393,0.161231034,0.599627586,119.0122414,224217.6897,3.965517241
at,0.691294118,0.683098039,5.098039216,-5.353980392,0.62745098,0.083123529,0.158249,0.007525614,0.145396078,0.540298039,115.8196275,212378.0196,3.980392157
lu,0.6932,0.675383333,5.3,-5.337483333,0.533333333,0.092265,0.154679817,0.007666985,0.139236667,0.54522,119.6149333,217618.2167,3.983333333
es,0.716393939,0.731272727,5.454545455,-4.992666667,0.545454545,0.08620303,0.183971818,0.006689761,0.151875758,0.623551515,114.0042424,217638.2424,4
hn,0.712307692,0.701820513,4.897435897,-5.09674359,0.564102564,0.080441026,0.158818692,0.005888533,0.160730769,0.561902564,118.8486154,220301.5128,3.974358974
hu,0.686508475,0.685864407,5.084745763,-5.327169492,0.542372881,0.086147458,0.159603881,0.006434346,0.142771186,0.543308475,119.0934915,215015.5763,3.983050847
ca,0.710859649,0.649842105,4.807017544,-5.793157895,0.666666667,0.115035088,0.182702965,0.006018276,0.145494737,0.529950877,116.3683333,221857.5439,3.98245614
gr,0.70084,0.652866667,5.56,-5.6504,0.52,0.107118667,0.157096253,0.006194998,0.147476,0.522612,118.7469333,216252.56,3.986666667
ie,0.689075472,0.664830189,4.905660377,-5.749415094,0.603773585,0.099390566,0.175529604,0.008964805,0.147715094,0.537796226,117.9849245,220282.4906,3.981132075
uy,0.72026087,0.73773913,5.043478261,-4.791478261,0.565217391,0.08033913,0.187101304,0.009157822,0.156317391,0.622965217,116.7104348,225499.7391,3.956521739
de,0.697081633,0.688122449,5.142857143,-5.243816327,0.571428571,0.084510204,0.158178959,0.007832962,0.146665306,0.55202449,115.0201429,212736.8163,3.979591837
pe,0.716896552,0.699586207,4.931034483,-5.069344828,0.551724138,0.08712069,0.170577241,0.000167255,0.166989655,0.610310345,119.5385862,223140,3.965517241
py,0.7157,0.693766667,5.366666667,-5.036033333,0.566666667,0.071796667,0.178567667,0.007479663,0.156876667,0.59014,117.9097333,227230.3667,3.966666667
it,0.683363636,0.70825,5.431818182,-5.110159091,0.545454545,0.071456818,0.157033386,0.008308983,0.160011364,0.541322727,119.1626364,215777.2727,3.977272727
fi,0.713294118,0.690147059,5.5,-5.312147059,0.470588235,0.1024,0.139343794,0.007258068,0.151023529,0.541976471,121.0792941,217305.7647,3.970588235
no,0.676446809,0.676957447,5.212765957,-5.679914894,0.574468085,0.099891489,0.18417083,0.008060819,0.141259574,0.508025532,120.5589149,217344.1915,3.978723404
pa,0.71405,0.702575,4.95,-5.015525,0.525,0.082275,0.151839225,0.005625147,0.15185,0.589205,116.728025,220292.025,3.975
is,0.704672414,0.649758621,5.362068966,-5.711103448,0.551724138,0.107587931,0.159332397,0.005761895,0.148775862,0.535089655,117.7347931,222778.1207,3.982758621
tr,0.710222222,0.708666667,4.62962963,-5.360777778,0.481481481,0.120944444,0.148487741,0.009296892,0.145977778,0.575259259,130.2356667,214928.1852,4
hk,0.682078947,0.688394737,5.263157895,-5.345947368,0.578947368,0.086726316,0.176466553,0.009391622,0.140231579,0.536715789,121.1888947,214704.2105,3.973684211
sg,0.6675,0.683854167,5.0625,-5.473166667,0.625,0.095975,0.159894979,0.007456357,0.147560417,0.528108333,120.1371667,214586,3.979166667
id,0.683125,0.66895,5,-5.4368,0.6,0.08202,0.194263225,0.008553018,0.1500075,0.52788,118.551825,217964.15,3.975
jp,0.687869565,0.697347826,5.065217391,-5.149413043,0.586956522,0.084054348,0.162052804,0.00777465,0.149132609,0.569026087,117.8715435,213580.4783,3.97826087
pl,0.671574468,0.680723404,5.170212766,-5.515106383,0.553191489,0.093370213,0.163968702,0.008189184,0.152312766,0.527514894,124.7274255,220183.2553,3.978723404
ch,0.7005625,0.686015625,5.296875,-5.2861875,0.578125,0.085679687,0.170251078,0.006062725,0.154601562,0.53920625,117.4507656,218834.6094,3.984375
lv,0.689449275,0.649565217,5.275362319,-5.637753623,0.536231884,0.105414493,0.159400275,0.005528261,0.141146377,0.51836087,118.769029,219512.7246,3.985507246
